"nama","waktu","ulasan"
"Muhammad Ferry","2 bulan lalu",""
"merlia safitri","2 bulan lalu","Seru menyenangkan"
"Jauharoh","2 bulan lalu","Seru banget di Lembang park & zoo"
"Sylvia Kumala sari","2 bulan lalu",""
"Primaldi Anugrah Utama","2 bulan lalu","Seperti jatim park Malang"
"Nina Konitat","2 bulan lalu",""
"Ur Syahir","2 bulan lalu","Sangat have fun bgt di lembang park & zoo ❤️‍🔥 …"
"Ima Noor","2 bulan lalu","Lembang park n zoo best"
"a pryd","2 bulan lalu",""
"Mf Dhy","2 bulan lalu","asik"
"Nopi Permatasari","2 bulan lalu",""
"adityara nur fadhila","2 bulan lalu","menarik makin banyak hewannua"
"Sri Widiyastuti","2 bulan lalu",""
"pipii lalaa","2 bulan lalu","baguss, kereenn"
"EGY MOLKO","2 bulan lalu","seru"
"Stella Febriyani","2 bulan lalu",""
"sari dwi jayanti","2 bulan lalu",""
"Ny Lah","2 bulan lalu",""
"Pirda Agustina","2 bulan lalu",""
"Fajar Nugraha","2 bulan lalu","Mantappp buat main keluarga"
"Agnetha Dewi","2 bulan lalu","Mantap seruuuu"
"sultanku 1985","2 bulan lalu",""
"Bensonosteen Quinn","2 bulan lalu","Bersihhhhhh…."
"Stefanie Santoso","2 bulan lalu","Zoo nya bersih.... ga bau..."
"Billy Tantri","2 bulan lalu","Luar biasa. Pengalaman keluarga menakjubkan"
"Siti Hepi","2 bulan lalu","Hewannya lebih banyak, udaranya lebih sejuk"
"Elsye Franciska","2 bulan lalu","Menarik"
"Rani Amelia","2 bulan lalu",""
"Dedek Iskandar","2 bulan lalu",""
"Daragenis Hermawan","2 bulan lalu",""
"muslim SH","2 bulan lalu",""
"Muhammad Fauzi","2 bulan lalu","Dengan harga tiket 90k/orang (high season + weekend) ga terlalu worth it (buat gw yak ini, sekali lagi buat gw, klo lu punya pendapat berbeda silakan) untuk menikmati dan edukasi anak terkait hewan (karena dikit) dan beberapa hewan mesti …"
"Adi Mu","2 bulan lalu","Hewan sedikit dan karyawannya teriak2 terus minta pengunjung pergi ke destinasi selanjtnya... Seakan2 di berikan durasi.
Untuk yang mau wisata melihat hewan tidak recomended. Mending kebun binatang sekalian"
"Fajar Faqih","2 bulan lalu","Tempatnya family oriented, especially untuk anak²,
Tempat belajar dan mengenal hewan yang cukup lengkap untuk anak².
Interaksi yang disediakan banyak, …"
"Satria Yudha","2 bulan lalu",""
"Dev Yandi","2 bulan lalu",""
"Khairil Insan Bintang","2 bulan lalu",""
"Masdir baehaki","2 bulan lalu","Kerennnn"
"Ria Damalia","2 bulan lalu","Tempat yg nyaman untuk liburan bersama keluarga, anak-anak pasti betah di sini, areanya luas, disarankan memakai sepatu yg nyaman."
"syaima fawza","2 bulan lalu",""
"Bentley HoseaLibuana","2 bulan lalu","Seharusnya kandang hewan yang di sini memiliki lebih dari dua hewan seperti kandang hyena dan hewan yang sendirian agar mereka tidak sendirian"
"amal kamaluddin","2 bulan lalu","Besar"
"Rispot Twidayanti","2 bulan lalu","Seru poolll, wahananya juga banyak seru seru. Liburan sekalian belajar"
"Daffa HP","2 bulan lalu","Keren, memuaskan"
"Sinar Teknik","2 bulan lalu","Cukup bagus"
"defaldi bastian","2 bulan lalu","sangat menyenangkan ✨"
"Servis AC Haurgeulis","2 bulan lalu",""
"Cyntia Amanda","2 bulan lalu","sangat menyenangkan"
"Ratih Rahmawati Ningsih","2 bulan lalu","Tempatnya bersih, Cocok buat yg punya anak2.. Dan binatangnya jg lumayan banyak"
"Ratinah Ratinah","2 bulan lalu","Cukup memuaskan"
"Firman syah","2 bulan lalu",""
"Neiza Nahdi","2 bulan lalu",""
"Neza Naser","2 bulan lalu",""
"Fahmi Nahdi","2 bulan lalu",""
"Neixza Naser","2 bulan lalu",""
"Jah Najah","2 bulan lalu","Bagus karen dh🤗🥰 …"
"Chusnul Chatimah","2 bulan lalu",""
"Ihsan Magad","2 bulan lalu",""
"Fatimah Mohamad","2 bulan lalu",""
"Nurul Azisyah","2 bulan lalu",""
"Muhammad Danish","2 bulan lalu","good experience!"
"nk","2 bulan lalu",""
"akbar abiansyah","2 bulan lalu","Fasilitas dan sarananya baik dan lengkap.
Mantap"
"Muhammad Wildan","2 bulan lalu","Bagus, hewan sehat terawat & lengkap"
"AHMAD AMBAR BAITULLOH","2 bulan lalu","cocok untuk edukasi"
"iinyuliansyah","2 bulan lalu",""
"Agustina Sandramustika","2 bulan lalu","Keren banget kakak"
"agis sulistiana","2 bulan lalu","Cocok untuk libur anak anak"
"Imas Feby","2 bulan lalu","Seru oke edukasi untuk anak anak"
"Martha mutiarani","2 bulan lalu","Keren banget
Hewan2 dirawat dengan baik & disayang. Keep it up Lembang zoo
Will come back again!"
"Rosyid Jaya","2 bulan lalu","Sangat menyenangkan dan seru"
"Hadiyat Wahyudin","2 bulan lalu","Sangat seru dan menyenangkan, anak bahagia"
"Siti Masturoh","2 bulan lalu",""
"Imam Arifin","2 bulan lalu",""
"fahmi kesuma","2 bulan lalu",""
"yudha kuncra","2 bulan lalu",""
"Hamdani68 Channel","2 bulan lalu","Cukup banyak koleksi binatang nya, cukup puas melihat isi Park Zoo ini
Rekomendasi untuk dikunjungi"
"ferry ramdhani","2 bulan lalu","Enak bawa maen anak"
"Alma ayu Fidelia","2 bulan lalu","Sangat asyik dan cocok untuk edukasi anak"
"slviahna","2 bulan lalu",""
"komara tunggal","2 bulan lalu","Di dalam ada Mushola dan Masjid sebrang Pintu Utama ... , Rekreasi dengan Udara Sejuk Khas Lembang ..."
"Lilis Khaerunnisa","2 bulan lalu",""
"Hendry Chi","2 bulan lalu","Family modern zoo
Fun to visit
Clean and tidy"
"Tharisa Fitria","2 bulan lalu",""
"Wxxdzyn","2 bulan lalu","Seruuuuu"
"Rika Diana","2 bulan lalu",""
"Rayan Aji Saputro","2 bulan lalu",""
"Rayan aji Saputro","2 bulan lalu",""
"Anggi Dewinta","2 bulan lalu",""
"Arif Budiman","2 bulan lalu","Mantap, ada show nya skrg"
"quaneisha alviena arini","2 bulan lalu",""
"Yuningsih Syarief","2 bulan lalu","Sangat menyenangkan bisa feeding animals, hewannya bervariasi"
"Ilham FajjuarN","2 bulan lalu","Lumayan."
"Ecky Ridho Setiawan","2 bulan lalu","Tempatnya sangat bagus"
"Reynaldo Sulaeman","2 bulan lalu","all is good"
"s n fakhirah","2 bulan lalu","Such a reaally fun place to hanging out with family, banyak hewaan atraktif jugaaa"
"Febriantini Dwi Ramadhani","2 bulan lalu","Seru sekali"
"Efi Yuliawan Hidayat","2 bulan lalu",""
"masinta oktafia","2 bulan lalu",""
"melania insani","2 bulan lalu","All Service good"
"Dera Karunia Pratama Muharam","2 bulan lalu","Good , fun and the best for kids ..."
"Aria Fitra Sulaiman","2 bulan lalu","Amazing 😍😍 …"
"muhammad qeis alghifari","2 bulan lalu","Mantap"
"Nui Aini","2 bulan lalu",""
"Winda ariska Puspitasari","2 bulan lalu","puas bgt anak happy total udaah 2x ksni"
"Devina Ariga Yasmine","2 bulan lalu","fun exp!"
"Efi Widianasari","2 bulan lalu","Keren"
"Salma Nayla","2 bulan lalu","seru bgt worth it bgt berkesan"
"Fitri Yani","2 bulan lalu",""
"Efi Widianasari","2 bulan lalu","Seru dan bikin mau dtng lg"
"Irly Twistian Silvani","2 bulan lalu","Lembang park zoo seru bgt skrg , worth it bgt pokoknya , ga nyesel"
"Anis Amelia","2 bulan lalu",""
"putri","2 bulan lalu",""
"ren reno","2 bulan lalu","tempat yang menyenangkan untuk anak-anak"
"Dira Baehaki","2 bulan lalu","Tempat Rekreyasi terbersih se Kota Bandung👍🏻 …"
"Aliah Murad","2 bulan lalu","Bagus , bersih.  suasananya enak adem banyak hewan. Hewan hewannya lucu lucu dan jinak tidak gigit"
"Fauzan Khalfani Octavian","2 bulan lalu",""
"Yeyep Fatahilah","2 bulan lalu","Seruuuuu"
"ayam babi","2 bulan lalu","Selama bermain disini nyaman dan gak panas dan semua staff disini ramah keren"
"riana febrianti","2 bulan lalu",""
"Syifa Alyvia","2 bulan lalu","Seruu n worth it bangeeeett!! Harga terjangkau jugaaa"
"Razzaq Zahran","2 bulan lalu","bagus"
"Fara Dina","2 bulan lalu","Anak2 selalu happy kalo kesini.. the best zoo di bandung"
"harvia soendari","2 bulan lalu","Kerennn, family friendly"
"Anis Nurhasanah","2 bulan lalu","Cocok untuk rekreasi keluarga , terutama bersama anak anak ."
"BANYU MILI","2 bulan lalu","Pengalaman seru bermain bersama keluarga ke Lembang park n zoo"
"Siti Hanifah","2 bulan lalu","Sangat mengasikan"
"Nazhriel Putra & Delfa Putra","2 bulan lalu","Seru banget taman Safari mini versi bdg"
"Tiara Dian Safara","2 bulan lalu","Sangat memuaskan tempatnya bersih dan rapi, karyawan ramah2, trimakasih"
"Erma Suzanti","2 bulan lalu","Seru banget buat liburan anak-anak ❤️❤️❤️"
"Eem Permana","2 bulan lalu",""
"Rayna A.","2 bulan lalu",""
"Siskasri Handayani","2 bulan lalu","Tempatnya bersih, cocok untuk liburan keluarga"
"Istiana Fahmi","2 bulan lalu","Senang bisa liburan ke lembang park and zoo.. Tempat nya bersih, musholah dan toilet banyak"
"Irwan Gunawan","2 bulan lalu",""
"dichant sesunan","2 bulan lalu","Zoo favorite, hewan2ny slalu nambah, dan tampak sehat.. Harga2 juga ga terlalu mahal..recomended pokoknya"
"Nori Christa","2 bulan lalu","Seru tempatnya. Hewan2nya sehat2. Suka sama hewan2nya."
"Gracia","2 bulan lalu",""
"yefta azriel Adyatma","2 bulan lalu",""
"Rio Adhitia Putra","2 bulan lalu",""
"Ertanti Rizki","2 bulan lalu","Lembang Park Zoo itu wajib banget dikunjungi...
Satwanya lengkap, fasilitas lengkap dan bersih.
Sukses terus lembang Park Zoo"
"Nadine Aisyah S","2 bulan lalu","Salah satu destinasi di lembang yang paling seruu"
"Zahra Nuralifa","2 bulan lalu","seruu bgt, pokoknya cocok buat yg mau liburan rekomendasi bgt ke sini🤩🤩 …"
"Muthia Kamilah","2 bulan lalu",""
"Gilang Permatasari","2 bulan lalu","Worth-it mantabb senang sekali bermain di lembang park zoo 😍😍 …"
"Roni Rosandi","2 bulan lalu","seruuuu bangeeet... tempat wisata recommended"
"Yudha Budiman","2 bulan lalu","Seru banget kesini... sangat menyenangkan bersama keluarga... menambah pengetahuan dan hiburan di hari libur.."
"Imal Ridho","2 bulan lalu","Pengalaman yang sangat luar biasa, sangat menyenangkan bisa mengunjungi lembang park & zoo bersama keluarga, plus lumayan capek juga kakinya karena area yang sangat luas dan hewan2 nya juga variatif. …"
"Denis Oktaviano","2 bulan lalu","Mantap sekali"
"Ihya Ulumudin","2 bulan lalu","Besar"
"Literatur Haris","2 bulan lalu","Tempat Asyik Untuk Liburan Anak"
"Lambang Arief","2 bulan lalu","sangat mengedukasi, karyawan sangat ramah dan menyenangkan."
"Dede Ramdani","2 bulan lalu",""
"Theresia Ade","2 bulan lalu",""
"Regina Meuthya D","2 bulan lalu",""
"Riza akbari akbari","2 bulan lalu",""
"Erdi Yansyah01","2 bulan lalu",""
"weni puspasari","2 bulan lalu",""
"erdi Yansyah","2 bulan lalu",""
"Sumidi","2 bulan lalu",""
"Fenni wulansari","2 bulan lalu",""
"Yos Randika","2 bulan lalu",""
"Putriana Dewi Primadona","2 bulan lalu","Tempat nyaman dan bersihhh 😍 …"
"Fen Fey","2 bulan lalu","Hewannya keren"
"B_21_033Fairly nusvia","2 bulan lalu",""
"ikasastri","2 bulan lalu","Bagusss bangeet"
"Teten Andriyanto","2 bulan lalu",""
"Amira Herliyanti","2 bulan lalu",""
"Fajar Wibawa","2 bulan lalu","Wahana yg seru sudah 3x sini mantap"
"dinda purnama sari","2 bulan lalu","Sangat seru"
"Arham Abdul jamy","2 bulan lalu",""
"Lie She","2 bulan lalu",""
"Tessalonika Larawo","2 bulan lalu",""
"mumuh muhili","2 bulan lalu",""
"Ardianz Kinboo","2 bulan lalu","Lupa gwe,terakhir kali kesini 2 tahun yg lalu"
"melka elana","2 bulan lalu",""
"M Hirlan Hardiansyah","2 bulan lalu","Seru banyak hewan yang langka cocok bawa keluarga dan juga anak2, tempat bermain hingga tempat makan ada semua,perlu di ingat tidak boleh bawa makanan dari luar ya soalnya nanti bakal disuruh makan dulu diluar(dikarenakan untuk mengembangkan umkm jadi diusahakan beli dari dalem ya) untuk keseluruhan nyaman dan bersih👍 …"
"Sandi Berlian Zulfian","2 bulan lalu",""
"Delis Deliana","2 bulan lalu",""
"Lia Awaliyah","2 bulan lalu","a great park and zoo! 💖🌿 …"
"Roni Riandra","2 bulan lalu","It's a fun place, good for family."
"Dadang Kosasih","2 bulan lalu",""
"Andrew Doppenberg","2 bulan lalu","Not too big but lots of different animals to see."
"supriyono atfa","2 bulan lalu",""
"Tris Sugih Mulyono","2 bulan lalu",""
"Merli Sidik","2 bulan lalu",""
"hartawan fenika","2 bulan lalu",""
"prayoga mupay","2 bulan lalu",""
"Riyan Priyanto","2 bulan lalu","This place is great to bring your kids for family holiday and education journey"
"Suci","2 bulan lalu","cocok buat ngedate! 😆💖 qtime bersama keluarga juga cocookk 🤗
aku perantau di bandung, jadi baru kesini pertama kali diajak pacar ku. tempatnya relatif ramai apalagi saat weekend tapi ga masalah, ga sampai bikin sesek …"
"Teguh Wang","2 bulan lalu",""
"Asep Suryadi","2 bulan lalu",""
"karno","2 bulan lalu",""
"PKBM AL-FATTAH","2 bulan lalu",""
"Dewi Riswanto","2 bulan lalu",""
"SHERLY ELUSTRE","2 bulan lalu","kurang worth 80-90k
liat bberapa hari sblmnya masi 50k"
"Sam g.dragon","2 bulan lalu",""
"agnes januari d","2 bulan lalu",""
"Hamzah Rosyadi","2 bulan lalu","Seru, mantap, anak saya seneng liat binatang binatangnya, kalau mau kesini wajib ke acara drama di deket orang utan, dapat snack anak"" mantap, pulang juga dapat snack, seneng lah pokonya, makasih lembang park & zoo"
"Estya Latifah","2 bulan lalu",""
"Edwin Nurdiansyah","2 bulan lalu",""
"Edgardi Muhammad Ernaldi","2 bulan lalu",""
"Venny Wydiaswara","2 bulan lalu",""
"Lucky Pradana","2 bulan lalu",""
"Eka Sanjayow","2 bulan lalu",""
"Laeli Nikmatul","2 bulan lalu",""
"Muhammad Ridwan maulana","2 bulan lalu","Gaada tempat neduh untuk para driverpanas banget kalo nunggu tamu kesini jadi malas ngerekomenin nya"
"Andri Pamuji","2 bulan lalu",""
"Yudi R","2 bulan lalu",""
"Sofia Hanifah","2 bulan lalu","Datang saat promo 80k/orang. Anak dengan tinggi <80cm free entry. Disarankan bawa stroller. Area bersih, cukup banyak koleksi hewannya. Minusnya ada beberapa tempat yang harus bayar lagi seperti untuk masuk ke aviary itu bayar lagi …"
"Ibnu Malik","2 bulan lalu",""
"Ayra N.f","2 bulan lalu","sangat seru, pegawai ramah ramah, hewannya terlatih semua gajah nya juga, cocok banget buat liburan 🛍🎈⛱ …"
"Aditia Rahman","2 bulan lalu",""
"Azvya Erstevan","2 bulan lalu","Bagus, tapi kayanya ga terlalu luas. Tapi hewan-hewannya cukup unik, semoga ke depan bisa lebih banyak pohonnya biar lebih rindang."
"COFFE TEA CHANNEL","2 bulan lalu","Sangat menyenangkan"
"Sandi Prastio","2 bulan lalu",""
"Nana Achilles","2 bulan lalu",""
"Sari Rejeki Utami","2 bulan lalu",""
"surya bagaskara","2 bulan lalu",""
"Rachel Salsabila budiyah","2 bulan lalu",""
"Sari Ayu Handayani","2 bulan lalu",""
"Bono","2 bulan lalu","Tempat Wisata edukasi anak2 yg rekomendasi. Banyak wahan permainan dan satwa."
"Yuni Lestari","2 bulan lalu","Bagus memuaskan"
"irkham Murrosidin","2 bulan lalu","Recommended buat bawa anak-anak/pasangan😁

Jarak antar satwa Deket jadi tidak cape …"
"Devi S Edy","2 bulan lalu",""
"Andy Mahardika","2 bulan lalu",""
"Dedi Syahrial","2 bulan lalu",""
"014_Viky Aulia Juliana","2 bulan lalu",""
"TIRTA PRABU KP","2 bulan lalu",""
"Johan Wijaya","2 bulan lalu",""
"Andrea Qinara","2 bulan lalu","Great experience here!!"
"William Lu","2 bulan lalu","Love it. It was great experience coming here, it has many animals and fun for kids, however, the entrance ticket doesn't cover a lot of things inside, there are hidden tickets here and there, for example additional ticket to enter bird …"
"Devi Yana","2 bulan lalu",""
"Arsyla gamer cute gamer chanel","2 bulan lalu",""
"James Wiguna","2 bulan lalu","trmpatnya masih bgs. parkir luas, suasananya enak adem, binatangnya terpelihara dgn baik dan ada mini tour nya seperti di taman safari. harga tiket dan makanan sangat terjangkau. the best tempatnya"
"Oddi Putra","2 bulan lalu",""
"Rossy Alfarisi","2 bulan lalu",""
"Arini Nadia","2 bulan lalu","Gada yg kurang semua ok
Tapi untuk meraknya tolong diperbaiki lagi biar lebih indah aja dilihat"
"Indra Lukman","2 bulan lalu",""
"Denny Halim","2 bulan lalu",""
"siti awallinah","2 bulan lalu","Bersih dan Kids friendly"
"Nadhira P.","2 bulan lalu",""
"Dede Ruslan","2 bulan lalu",""
"Irma Nuu","2 bulan lalu","Highly recommendation! Ga cuma edukasi satwa, tapi juga ada edukasi tanaman-tanaman yg ada di dalam Lembang Park & Zoo. Karena ternyata kami menemukan beberapa tanaman yg terdapat nametag beserta manfaat tanaman tsb. Bravo! …"
"David Marpaung","2 bulan lalu",""
"Dina P","2 bulan lalu",""
"Khaziel Azhari","2 bulan lalu",""
"Maura Adelia","2 bulan lalu","Sangat pas untuk liburan keluarga apalagi buat anak anak sangat terhibur main kesini. Saya sudah dua kali datang dari Brebes kesini"
"Yusup Irawan","2 bulan lalu","Sangat menyenangkan suasana nya sahdu bikin kangen rapi bersih dan tempat ibadah nya setiap tempat karyawan/i ramah moga jaya terus.."
"Ihsan","2 bulan lalu",""
"Nino Bgt","2 bulan lalu","Tempat nya asik"
"amalia chairunnisa","2 bulan lalu","tempatnya seru bersih dan bersih"
"Dian Diwani","2 bulan lalu",""
"Dwi Hesti Lestari","2 bulan lalu",""
"Adi Murniawan","2 bulan lalu","Seru"
"Gigin Parsa","2 bulan lalu","bagus,..menurut saya sih kurang besar dan saat saya berkunjung hewan blm lengkap seperti zebra blm ada,..harga tiket kalo bisa lebih murah lagi"
"ucox coky","2 bulan lalu",""
"Alif Js","2 bulan lalu",""
"Andhika Triwibowo","2 bulan lalu","tempatnya sejuk dan bersih"
"Kunkun Wahyudin","2 bulan lalu",""
"aldera rental01","2 bulan lalu",""
"Prista Ferdina","2 bulan lalu","Great, nice and enjoy"
"novi opi","2 bulan lalu","Nice"
"Ahmad Akung","2 bulan lalu","Nice"
"Khalisa Fara almaira","2 bulan lalu",""
"Andriyanto Hadiawan","2 bulan lalu","Ingin bermain lagi ke LPZ"
"Denss channel","2 bulan lalu","Untuk keluarga ksini sangat edukatif.
Banyak kegiatan interaksi dengan hewan. …"
"Dik hermansyah","2 bulan lalu",""
"Dik Hermansyah","2 bulan lalu",""
"Selly Afriyani","2 bulan lalu","Jgn lupa bawa stroller untuk yang bawa anak agar tidak berat menggendong. Atau sewa scooter biar ga cape. …"
"Suluh Pardamaian","2 bulan lalu",""
"Aluna Aluna","2 bulan lalu","Suka bgt main di lembang park & zoo aplg bawa todller yg exited bgt lihat hewan2 disana, cuaca adeemm..jd ga berasa gerah keliling2nya, dan jarak kandang hewan 1 dan yg lainya pun berdekatan jd ga cape"
"Praktek Dokter & Dokter Gigi Budi mulia","2 bulan lalu",""
"Adrian Resha Devara","2 bulan lalu",""
"Julian dika","2 bulan lalu","Aku suka dan aku pesona dengan kebun binatang Lembang semoga aja ramai pengunjung ya"
"Elisabet Iskandar","2 bulan lalu","Ramai sekali kalau weekend.
Disarankan datang pagi2 karena panas
Tempatnya bagus terawat, hewan juga cukup banyak."
"ade suherman","2 bulan lalu",""
"Giena Abeysasy","2 bulan lalu","Tempatnya ok buat refreshing, untuk binatangnya sih ga tll byk 😊 …"
"Uswah Khaerani","2 bulan lalu","Baik"
"Robin Willis","2 bulan lalu","Great experience bersama keluarga, semua harga di dalam masih terbilang cukup terjangkau."
"Marselina Crescentia Tisera","2 bulan lalu",""
"Reza Febriansyah","2 bulan lalu","tempat yang sangat asik buat liburan bareng keluarga .."
"Yuli Nurlaeli","2 bulan lalu",""
"abdulrahman munshi","2 bulan lalu",""
"Wanti","2 bulan lalu",""
"Iqbal Nasrullah","2 bulan lalu",""
"novi sopiani aprili","2 bulan lalu",""
"Reka Marinda","2 bulan lalu",""
"hana novelia","2 bulan lalu","Adem banget, cocok buat liburan bareng anak"
"firda ramadhany","2 bulan lalu",""
"Rahayu Sartika","2 bulan lalu","Keren banget"
"ALDY MEDIKA","2 bulan lalu",""
"Dandi Ramadhan","2 bulan lalu",""
"Ibrahim","2 bulan lalu","Bersemangat untuk membersihkan dan mendinginkan"
"Aminah Citrasari","2 bulan lalu",""
"Yugo Muhammad Ramadhan","2 bulan lalu",""
"SITI NOOR HABIBAH MOHAMED NOOR","2 bulan lalu",""
"Novia Risdiawati","2 bulan lalu",""
"Bagus aldio pratama","2 bulan lalu","Gurih nyony"
"siska rohmawati","2 bulan lalu",""
"vina widiasih","2 bulan lalu",""
"Gilang Dimas Saputra","2 bulan lalu",""
"mochammad firdaus","2 bulan lalu","Love the cleanliness, neatness and the beauty of this park & zoo. The facilities for praying, eating, throwing away rubbish and toilets are also easy to find. Even though it's raining, it doesn't make us to difficult for recreation, even …"
"alex widjaya","2 bulan lalu",""
"Mumu99 Jhon","2 bulan lalu","Bagus, hewan lebih dekat"
"anelis nur fadilla","2 bulan lalu",""
"nova rizky fauziah","2 bulan lalu","seru banget main kesini, tempat nya luas bgt,staff nya ramah,hewan nya juga lengkap dan terawat😍 …"
"Pablo Escobar","2 bulan lalu","LUAS SEKALI, BANYAK WAHANA BERMAINNYA, PARKIR MUDAH, SANGAT. COCOK UNTUK KELUARGA"
"Sari Mulyani","2 bulan lalu",""
"handi lukman","2 bulan lalu",""
"Iwan Mahpudin","2 bulan lalu","Recomendasi villa 4 kamar di komplek villa istana bunga lembang"
"mei98","2 bulan lalu","Tempatnya maasyaa Allah bersih ga bau. Hewannya cukup lengkap. Bisa ke kampung satwa bayar lagi 20 k"
"Naufal Surya","2 bulan lalu","bagus buat berlibur sama keluarga"
"Zikri Qowi","2 bulan lalu",""
"Rahmat Hidayat","2 bulan lalu","👍 …"
"Mia Soliha","2 bulan lalu","Mantap, pelayan nya ramah2,🥰 …"
"Didi Setiawan","2 bulan lalu",""
"Salman Alfarizi (Msalmanalpha)","2 bulan lalu","Tempat ini cocok untuk perjalanan bersama keluarga, terlebih jika anda memiliki anak atau membawa sepupu kecil atau anda disuruh mengasuh anak orang. Tapi bila membawa pasangan saja kesini juga oke kok. …"
"Achmad Brida","2 bulan lalu",""
"Ja i","2 bulan lalu",""
"Desilva","3 bulan lalu","Masih jadi tempat wisata budget yg rekomen buat semua kalangan. Hewan-hewannya sehat semua. Pasti manajemennya juga sehat. …"
"Kosim Kosim kos","3 bulan lalu",""
"Rizky Pratama P","3 bulan lalu",""
"dyan haera","3 bulan lalu",""
"anggie vp","3 bulan lalu",""
"Tiara Annisa","3 bulan lalu",""
"little mummut","3 bulan lalu",""
"Bayu Pamungkas","3 bulan lalu","It was fun experience for us. Especially my nephew, he was so happy. Thank you!"
"Ikhlasul Amalia","3 bulan lalu",""
"prima nugraha","3 bulan lalu",""
"imaw Pradana","3 bulan lalu",""
"Jhony Pirmansyah","3 bulan lalu","Mantaaaaaap"
"Rima AR","3 bulan lalu",""
"Tia sulistia","3 bulan lalu",""
"Rijal “Abbie” Septiana","3 bulan lalu","Tempatnya luas, nyaman. Sayangnya pas kesana lagi hujan. Semoga semakin banyak area yg baru lagi :)"
"ovian dwi Junianto","3 bulan lalu","Bagus untuk anak biar lebih tau aselinya hewan ini seperti apa,"
"Irfansah SH MKn","3 bulan lalu",""
"dwi_뒤","3 bulan lalu",""
"Qiaqen Tira","3 bulan lalu","Selalu jadi tempat favorit aku sih buat ajak anak anak ,ini udh yang ke 6x nya ,tiap anak anak minta ke kebun binatang aku ajak kesini karena tempat nya ga begitu luas jadi ga cape buat muter in semua nya ,anak anak juga bisa liat hewan …"
"anton bachtiar","3 bulan lalu",""
"Ashari Muhammad Cahyadi","3 bulan lalu",""
"Raden Ajeng","3 bulan lalu",""
"Arika Priliani","3 bulan lalu",""
"Ahmad Fauzi","3 bulan lalu",""
"Dimas Muhamad Nurjaman","3 bulan lalu",""
"yogi kharisma","3 bulan lalu","Tempat yg sangat bagus, anak2 suka, orang tua suka, makanan rnak dan murah2"
"Oki Satria","3 bulan lalu","Pertama x kesini.
Dr wahana dan Variant Hewannya sudah sangat cukup lengkap. Pas kesana ada kudanil baru masuk, lahan masih luas bisa buat nambah. …"
"Rifan Ardianto","3 bulan lalu","Ternyata lebih bagus,daripada terakhir kesini 2021,skr lebih keren"
"Tya Putri","3 bulan lalu",""
"Andy Service","3 bulan lalu",""
"RANIA Pratini","3 bulan lalu",""
"satrio putra","3 bulan lalu","luas, ada safari ride banyak kuliner

terbaek"
"Wiwin Rosminar","3 bulan lalu","Tempatnya luas banget
Harga tiket standard"
"De Angel Net","3 bulan lalu",""
"fardan muhammad","3 bulan lalu","da best tempat wisata ini,
baru nemu tempat wisata yg provide tempat utk sholat jumat karyawan dan pengunjung, jadi ga sulit utk yg sengaja datang weekday mepet weekend (hari  jumat) …"
"Muhammad arif Vlog","3 bulan lalu",""
"Ferdinand Rinaldy","3 bulan lalu",""
"Rara Mumtaza","3 bulan lalu","nice✨ recommended pokonya"
"Rahmat Akbar","3 bulan lalu","Tempat nya edukatif untuk anak anak.
Agak kurang map dan papan tunjuk arah.
Atau kurang terlihat."
"Hilmy Nur Fauziyyah","3 bulan lalu",""
"Key Sar28","3 bulan lalu",""
"Erwin Permana Kantawijaya","3 bulan lalu","Kmrn ajak anak² kesini lumayan menyenangkan, hanya hewan nya tdk sekomplit di kebun binantang ya, suasana enak.. overall bagus"
"Fernando Parhusip","3 bulan lalu",""
"Vito Persada","3 bulan lalu",""
"Septian Cahya Nugraha","3 bulan lalu","Rekomendasi liburan keluarga"
"Rionaldi Rudyputra","3 bulan lalu","Datang yg ke 2 kali, sekarang sudah kurang terawat, hewan2 nya juga banyak yg ga ada, kandang kosong. Sayang bgt, beda bgt suasananya dibanding waktu pertama kali kesini."
"Tedi M128","3 bulan lalu",""
"Mas Bagus","3 bulan lalu",""
"agung 444","3 bulan lalu","kerenn"
"Daisy Cynthia","3 bulan lalu","Sepertinya waktu sy berkunjung terakhir (2024) kurang terawat..
Kolamny jd banyak lumut, dan catnya banyak yg pudar..
Tdk seperti di tahun 2021, tampilannya jauh lebih bagus.. …"
"laely farlyanti julaeha","3 bulan lalu",""
"Diana Ratnawati","3 bulan lalu",""
"Alea Alea","3 bulan lalu","Tempatnya bagus, banyak pilihan kegiatan dan banyak hewanya juga. Tempat makan juga cukup bnyak dan harganya masih affordable. Toilet dan mushola cukup bnyak dan mudah ditemukan. Tempatnya juga bersih. Semoga terus terjaga pelayanan san kebersihan tempatnya. Oiya, terima kasih jg staff2 semua ramah-ramah"
"Farkhatun_","3 bulan lalu","Mngesankan"
"Nia 25_09","3 bulan lalu","Sangat seru cocok untuk liburan bersama keluarga..."
"Arians","3 bulan lalu",""
"Abdul Halim","3 bulan lalu","Insyaallah siang ini otw"
"Sandi Alkantara","3 bulan lalu","Bagus sekali"
"TS Life","3 bulan lalu","Tempatnya bersih banget,staff ramah2, banyak tempat makan juga, playground buat anak jg lengkap., happy banget main kesini dengan harga tiket yg sangat terjangkau 😍 Next pasti kesini lagi 😍 Goodjob Lembang park & zoo team semoga ramai terus pengunjungnya 👍👍 …"
"Arnoldyth Rodes Medo","3 bulan lalu",""
